10.46;[0];[0, 2];[0, 1, 2];[1]
10.46;[0, 1];[];[0, 2];[0, 1, 2]
10.46;[0, 1];[1];[0, 2];[2]
10.46;[0, 1];[0];[0, 1];[0, 2, 2]
10.46;[0, 1];[0];[0, 1, 2];[2]
10.46;[0, 1];[0, 1];[0];[0, 2, 2]
10.46;[0, 1];[0, 2];[];[0, 1, 2]
10.46;[0, 1];[0, 2];[1];[2]
10.46;[0, 1];[0, 2];[2];[1]
10.46;[0, 1];[0, 2];[0, 1, 2];[]
10.459999999999999;[0];[0];[0, 2];[0, 1, 1, 2]
10.459999999999999;[0];[0, 2];[0];[0, 1, 1, 2]
10.25;[];[0];[0, 1, 1];[0, 1, 1, 1]
10.25;[];[0, 1];[0, 1];[0, 1, 1, 1]
10.25;[];[0, 1];[0, 1, 1];[1, 1]
10.25;[0];[0];[0, 1];[0, 1, 1, 1, 1]
10.25;[0];[0];[0, 1, 1, 1];[1, 1]
10.25;[0];[0, 1];[0];[0, 1, 1, 1, 1]
10.25;[0];[0, 1];[0, 1, 1, 1];[1]
10.25;[0];[0, 1, 1];[];[0, 1, 1, 1]
10.25;[0];[0, 1, 1];[1];[1, 1]
10.25;[0];[0, 1, 1];[1, 1];[1]
10.25;[0];[0, 1, 1];[0, 1, 1, 1];[]
10.25;[0, 1];[];[0, 1];[0, 1, 1, 1]
10.25;[0, 1];[];[0, 1, 1];[1, 1]
10.25;[0, 1];[1];[1];[0, 1, 1]
10.25;[0, 1];[1];[0];[0, 1, 1, 1]
10.25;[0, 1];[1];[0, 1, 1];[1]
10.25;[0, 1];[0];[0];[0, 1, 1, 1, 1]
10.25;[0, 1];[0];[0, 1, 1, 1];[1]
10.25;[0, 1];[0, 1];[0, 1, 1, 1];[]
10.25;[0, 1];[0, 1, 1];[];[1, 1]
10.25;[0, 1];[0, 1, 1];[1];[1]
10.25;[0, 1];[0, 1, 1];[1, 1];[]
9.92;[0];[0];[0, 3];[0, 4]
9.66;[0];[0];[0, 1, 1];[0, 4]
9.66;[0];[0, 1];[0, 1];[0, 4]
9.66;[0];[0, 1, 1];[0];[0, 4]
