20.49;[0, 1];[0, 1, 1];[0, 1];[0, 4];[0, 5]
20.45;[0];[0, 1];[0, 1, 2];[0, 4];[0, 1, 4]
20.45;[0];[0, 1, 1];[0, 1, 2];[0, 4];[4]
20.45;[0];[0, 1, 1];[0, 2];[0, 4];[0, 1, 4]
20.45;[0];[0, 2];[0, 1, 1];[0, 4];[0, 1, 4]
20.45;[0];[0, 2];[0, 1, 1, 1];[0, 4];[4]
20.45;[0, 1];[0];[0, 1, 2];[0, 4];[0, 1, 4]
20.45;[0, 1];[0, 1];[0, 1, 2];[0, 4];[4]
20.45;[0, 1];[0, 1];[0, 2];[0, 4];[0, 1, 4]
20.45;[0, 1];[0, 1, 1];[0, 2];[0, 4];[4]
20.45;[0, 1];[0, 2];[0, 1];[0, 4];[0, 1, 4]
20.45;[0, 1];[0, 2];[0, 1, 1];[0, 4];[4]
20.43;[0];[0, 1];[0, 3];[0, 1, 3];[0, 1, 4]
20.43;[0];[0, 1];[0, 3];[0, 4];[0, 1, 1, 3]
20.43;[0];[0, 1, 1];[0, 3];[0, 1, 3];[4]
20.43;[0];[0, 1, 1];[0, 3];[0, 3];[0, 1, 4]
20.43;[0];[0, 1, 1];[0, 3];[0, 4];[1, 3]
20.43;[0, 1];[0];[0, 3];[0, 1, 3];[0, 1, 4]
20.43;[0, 1];[0];[0, 3];[0, 4];[0, 1, 1, 3]
20.43;[0, 1];[0, 1];[0, 3];[0, 1, 3];[4]
20.43;[0, 1];[0, 1];[0, 3];[0, 3];[0, 1, 4]
20.43;[0, 1];[0, 1];[0, 3];[0, 4];[1, 3]
20.43;[0, 1];[0, 1, 1];[0, 3];[3];[0, 4]
20.43;[0, 1];[0, 1, 1];[0, 3];[0, 4];[3]
20.42;[0];[0, 1];[0, 1, 2];[0, 1, 3];[0, 5]
20.42;[0];[0, 1];[0, 3];[0, 1, 1, 2];[0, 5]
20.42;[0];[0, 1, 1];[0, 1, 2];[0, 3];[0, 5]
20.42;[0];[0, 1, 1];[0, 2];[0, 1, 3];[0, 5]
20.42;[0];[0, 1, 1];[0, 3];[0, 1, 2];[0, 5]
20.42;[0];[0, 2];[0, 1, 1];[0, 1, 3];[0, 5]
20.42;[0];[0, 2];[0, 1, 1, 1];[0, 3];[0, 5]
20.42;[0];[0, 2];[0, 3];[0, 1, 1, 1];[0, 5]
20.42;[0, 1];[0];[0, 1, 2];[0, 1, 3];[0, 5]
20.42;[0, 1];[0];[0, 3];[0, 1, 1, 2];[0, 5]
20.42;[0, 1];[0, 1];[0, 1, 2];[0, 3];[0, 5]
